protein_id	organism_name	kingdom	protein_length	TM_helix_presence	class	cv_subset
Q07163	Saccharomyces cerevisiae	Fungi	1755	False	Training	1
Q924K8	Mus musculus	Metazoa	591	False	Training	1
P21145	Homo sapiens	Metazoa	153	True	Training	1
Q9UUM2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	971	False	Training	1
Q04781	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1562	False	Training	1
F4JHA2	Arabidopsis thaliana	Viridiplantae	884	False	Training	1
P53255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	507	False	Training	1
F4JYC8	Arabidopsis thaliana	Viridiplantae	1706	True	Training	1
Q9SQK3	Arabidopsis thaliana	Viridiplantae	315	False	Training	1
Q9BQG0	Homo sapiens	Metazoa	1328	False	Training	1
Q8IEK7	Plasmodium falciparum (isolate 3D7)	Sar	87	False	Training	1
Q8WZ33	Homo sapiens	Metazoa	124	False	Training	1
Q7RWZ7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	201	False	Training	1
Q01329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	785	False	Training	1
F4JLC1	Arabidopsis thaliana	Viridiplantae	331	False	Training	1
P82649	Bos taurus	Metazoa	359	False	Training	1
Q03557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	464	False	Training	1
Q99679	Homo sapiens	Metazoa	349	True	Training	1
Q9BTF0	Homo sapiens	Metazoa	503	False	Training	1
P53212	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	290	False	Training	1
Q9DCX7	Mus musculus	Metazoa	243	True	Training	1
Q9BXU7	Homo sapiens	Metazoa	913	False	Training	1
Q42510	Arabidopsis thaliana	Viridiplantae	1451	False	Training	1
Q9NK54	Drosophila melanogaster	Metazoa	1711	False	Training	1
A2AIL4	Mus musculus	Metazoa	333	False	Training	1
P31228	Bos taurus	Metazoa	341	False	Training	1
Q9XH32	Spinacia oleracea	Viridiplantae	222	False	Training	1
P52591	Rattus norvegicus	Metazoa	1199	True	Training	1
Q8VYZ5	Arabidopsis thaliana	Viridiplantae	900	False	Training	1
P53309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	568	False	Training	1
H2L056	Caenorhabditis elegans	Metazoa	613	False	Training	1
P10914	Homo sapiens	Metazoa	325	False	Training	1
O43924	Homo sapiens	Metazoa	150	False	Training	1
Q6PRD7	Homo sapiens	Metazoa	247	False	Training	1
Q9FMZ0	Arabidopsis thaliana	Viridiplantae	337	False	Training	1
Q4WF55	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	462	False	Training	1
O18017	Caenorhabditis elegans	Metazoa	988	False	Training	1
Q05175	Rattus norvegicus	Metazoa	220	False	Training	1
O13855	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	455	False	Training	1
Q6UPE1	Rattus norvegicus	Metazoa	616	False	Training	1
O02219	Caenorhabditis elegans	Metazoa	453	False	Training	1
Q8W234	Arabidopsis thaliana	Viridiplantae	877	False	Training	1
A1ZAW0	Drosophila melanogaster	Metazoa	1722	False	Training	1
Q9Y6A4	Homo sapiens	Metazoa	193	False	Training	1
Q93062	Homo sapiens	Metazoa	196	False	Training	1
Q01453	Homo sapiens	Metazoa	160	True	Training	1
Q6ZWQ0	Mus musculus	Metazoa	6874	True	Training	1
Q9Y7M6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	217	False	Training	1
Q811D2	Mus musculus	Metazoa	1581	False	Training	1
Q94K73	Arabidopsis thaliana	Viridiplantae	429	False	Training	1
Q9BQ83	Homo sapiens	Metazoa	275	False	Training	1
P36141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	False	Training	1
G5ED47	Caenorhabditis elegans	Metazoa	413	False	Training	1
Q61624	Mus musculus	Metazoa	794	False	Training	1
O94621	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	365	False	Training	1
P53307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	113	False	Training	1
Q9SI64	Arabidopsis thaliana	Viridiplantae	702	False	Training	1
Q9UNN5	Homo sapiens	Metazoa	650	False	Training	1
Q9STF2	Arabidopsis thaliana	Viridiplantae	510	False	Training	1
D4A7U2	Rattus norvegicus	Metazoa	587	False	Training	1
P40007	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	231	False	Training	1
Q867Z4	Drosophila melanogaster	Metazoa	970	False	Training	1
O54931	Mus musculus	Metazoa	1089	False	Training	1
F4I9G2	Arabidopsis thaliana	Viridiplantae	426	False	Training	1
Q7FAD5	Oryza sativa subsp. japonica	Viridiplantae	869	False	Training	1
Q9JL04	Mus musculus	Metazoa	1578	False	Training	1
Q95T19	Drosophila melanogaster	Metazoa	464	False	Training	1
Q12040	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	230	False	Training	1
Q8N4E7	Homo sapiens	Metazoa	242	False	Training	1
P42356	Homo sapiens	Metazoa	2102	False	Training	1
