protein_id	organism_name	kingdom	protein_length	pos_cleavage_site	class	cv_subset
Q99MA2	Rattus norvegicus	Metazoa	674	22	Training	1
P17948	Homo sapiens	Metazoa	1338	26	Training	1
P41271	Homo sapiens	Metazoa	181	16	Training	1
Q8I948	Acanthoscurria gomesiana	Metazoa	156	23	Training	1
Q92154	Coturnix japonica	Metazoa	620	17	Training	1
O46167	Eratigena agrestis	Metazoa	68	17	Training	1
Q16552	Homo sapiens	Metazoa	155	23	Training	1
Q5XM24	Dictyostelium discoideum	Amoebozoa	494	18	Training	1
Q00802	Bombyx mori	Metazoa	256	17	Training	1
O76942	Encephalitozoon cuniculi (strain GB-M1)	Fungi	395	22	Training	1
Q02126	Hordeum vulgare	Viridiplantae	330	25	Training	1
Q9NRR1	Homo sapiens	Metazoa	136	22	Training	1
Q9GU69	Lymnaea stagnalis	Metazoa	64	21	Training	1
P56201	Oryctolagus cuniculus	Metazoa	797	24	Training	1
P29026	Rhizopus oligosporus	Fungi	540	22	Training	1
Q8JFQ0	Bombina maxima	Metazoa	96	19	Training	1
O88188	Mus musculus	Metazoa	162	19	Training	1
Q9TVX3	Olivierus martensii	Metazoa	61	28	Training	1
Q76CA2	Monoplex parthenopeus	Metazoa	275	23	Training	1
O18994	Sus scrofa	Metazoa	219	21	Training	1
Q6UXD5	Homo sapiens	Metazoa	910	27	Training	1
P61916	Homo sapiens	Metazoa	151	19	Training	1
Q86T13	Homo sapiens	Metazoa	490	21	Training	1
P05067	Homo sapiens	Metazoa	770	17	Training	1
P28906	Homo sapiens	Metazoa	385	31	Training	1
P18657	Macaca fascicularis	Metazoa	83	26	Training	1
P14630	Rattus norvegicus	Metazoa	190	17	Training	1
P19427	Bos taurus	Metazoa	201	18	Training	1
Q13433	Homo sapiens	Metazoa	755	28	Training	1
P33681	Homo sapiens	Metazoa	288	34	Training	1
Q91XZ4	Mus musculus	Metazoa	772	28	Training	1
P15450	Apis mellifera	Metazoa	53	19	Training	1
Q00870	Fusarium solani subsp. phaseoli	Fungi	350	19	Training	1
Q92563	Homo sapiens	Metazoa	424	22	Training	1
O60844	Homo sapiens	Metazoa	167	16	Training	1
I6RA76	Scolopendra mutilans	Metazoa	64	18	Training	1
P56829	Ovis aries	Metazoa	195	23	Training	1
P82384	Drosophila melanogaster	Metazoa	92	16	Training	1
Q8N766	Homo sapiens	Metazoa	993	22	Training	1
Q8T0W1	Pimpla hypochondriaca	Metazoa	115	22	Training	1
Q9H293	Homo sapiens	Metazoa	177	32	Training	1
P0DPU9	Myrmecia gulosa	Metazoa	67	25	Training	1
C0HL38	Trichonephila clavata	Metazoa	60	19	Training	1
P19594	Glycine max	Viridiplantae	158	21	Training	1
P35777	Solenopsis invicta	Metazoa	137	19	Training	1
Q9Y240	Homo sapiens	Metazoa	323	21	Training	1
